genus,species
Trigonostigma,canadensis
Petrogale,coelebs
Sabella,probatocephalus
Plectorhinchus,leichardti
Patriomanis,semifasciatus
Gnathophyllum,yuwonoi
Ornithorhynchus,normani
Tursiops,victoriae
Eupleres,rhamphistinus
Petrolisthes,analis
Aplodinotus,inscriptus
Penelopides,melanopus
Euoplocephalus,parvipinnis
Iodotropheus,lamarck
Letepsammia,punctatissima
Strongylocentrotus,maxima
Colobocentrotus,jacksoni
Malacanthus,clavata
Pteroplatytrygon,quinquestriatus
Hepatus,paradoxus
Synalpheus,mola
Meuschenia,bartlettorum
Portunus,punctatus
Ocyceros,atramentatus
Chiloscyllium,veranii
Anoxycalyx,frondosa
Auchenoglanis,joubini
Macroramphosus,spinosissimus
Albula,leucomelas
Allosaurus,varium
Lithodes,amboinensis
Smilosuchus,fossiger
Serrasalmus,bellulus
Corydoras,sternbergi
Ventrifossa,ehrenbergi
Ophiolepis,johnstoni
Brevoortia,transversus
Percnon,multiradiatus
Nothocrax,cyanoscelis
Melogale,setosum
Pinnotheres,alleni
Valenciennea,vannamei
Corydoras,cantorii
Leucocephalon,biaculeatus
Parascyllium,eglanteria
Meganeuropsis,derbiana
Canthigaster,meridionalis
Trapezia,leithii
Penelope,corrugata
Nephrops,zonata
Ortalis,nasutus
Priscacara,terrelli
Halcampa,gigantea
Arctica,crysos
Hyas,planiceps
Hapalochlaena,sculptus
Dicotylichthys,albomaculata
Aulostomus,kienerii
Oryzias,punctatum
Charniodiscus,ophidianus
Bradypodion,sarba
Lutjanus,thouarsii
Fossorcastor,incornutus
Gonodactylus,atrata
Balaena,pini
Euscorpius,cunea
Dryococelus,portusjacksoni
Litopenaeus,canadensis
Phimosus,diegensis
Pseudechidna,vetula
Letepsammia,libratus
Solaster,roseus
Riftia,sciurus
Hyla,pilosus
Blastomussa,javanicus
Flexicalymene,sanctijosephi
Sturnus,serenei
Monodactylus,macrocerus
Trichoglossus,vinctus
Eubalichthys,bicanaliculata
Alicella,ongus
Halichoeres,nigromaculatus
Ophichthus,teira
Micrometrus,faber
Cheilopogon,bidentata
Triops,epheliticus
Muraena,atra
Megalaima,centroura
Palinurus,labordi
Stephanolepis,hystrix
Pseudocolochirus,aura
Platydoras,baeticus
Buthus,texana
Symphorichthys,trocheliophorum
Acanthodoras,violaceus
Proceratosaurus,syringinus
Goniastrea,scriptus
Cirrothauma,pictus
Stegostoma,joubini
Bathophilus,occidentale
Cephalopholis,ophidianus
Aristostomias,alba
Rypticus,everetti
Arothron,mathaei
Tylosaurus,macloti
Urolophus,cunicularia
Epicrates,longibarbis
Hepatus,sharpii
Phimochirus,undecimalis
Acipencer,ischigualastensis
Hapalochlaena,monoceros
Streptocephalus,rosenbergi
Coloborhynchus,stimpsoni
Alloteuthis,grunniens
Phimochirus,cuning
Pinnotheres,multiocellatus
Wukongopterus,islandica
Sicyonia,sexfasciatus
Ctenochasma,macrotis
Rimicaris,furcifer
Bison,bicanaliculata
Sunagocia,janthinoptera
Carcinus,vidua
Heloecius,subruficollis
Chaceon,glaucum
Paraceratherium,arboreus
Fungia,medius
Oryzias,tavetanum
Caprella,kienerii
Mopalia,lohachata
Hemibagrus,brevoortii
Palliolum,jardinii
Eptesicus,andersonii
Drepanis,mysticetus
Glyptonotus,greeleyi
Paguristes,arctica
Hemitaurichthys,porosus
Uroconger,ornatus
Conocoryphe,jandaya
Rypticus,monteiri
Leperditia,epheliticus
Microcarbo,bicolor
Palliolum,quadricornis
Prionotus,punctatissima
Pantherophis,leachii
Butis,caeruleolineatus
Pilodius,rectangulus
Gorgonia,leadbeateri
Pinna,lalandi
Arothron,margaritifera
Enchelycore,coecutiens
Leperditia,multiflora
Rapator,thouin
Tubipora,lamarcki
Ophioderma,conspicillatus
Protopterus,violaceus
Bathocyroe,caretta
Pilodius,sprengerae
Helaletes,pellucidus
Mawsonites,lorioli
Arctides,volutator
Chlamyphorus,pallidus
Scaphirhynchus,cornuta
Paracentropogon,cavirostris
Mespilia,villosus
Herpolitha,dongi
Cirrhilabrus,woottoni
Mylossoma,laticeps
Myloplus,chinensis
Hypertragulus,vidua
Ctenosaura,scaphiops
Xiphister,saxatilis
Hypoplectrus,amblyrhynchos
Corophium,albater
Kinosternon,beccarii
Spondylus,leptura
Canadia,melas
Rhynchophis,derbiana
Myoxocephalus,meridionalis
Undaria,acutipinna
Carijoa,macleayi
Anarhichas,ommata
Plesiotrygon,argenteum
Ophiarachna,smithii
Fungia,striatus
Macropodia,pesfelis
Caretta,galeatus
Magicicada,concentricus
Histiophryne,infernalis
Hemigymnus,spenceri
Aplodinotus,scabriculus
Ortalis,sexfasciatum
Xenus,poecilochrous
Halichoeres,arboreus
Cobitis,esculentus
Haliaeetus,canicula
Syngnathus,polyuranodon
Achelous,gutturale
Botaurus,diomedeae
Fossorcastor,dugon
Ixobrychus,corrugata
Balaeniceps,exquisitus
Opistognathus,malabaricus
Torpedo,carinata
Doryrhamphus,leptacanthus
Cheilodactylus,pallidirostris
Metaxytherium,parvipinnis
Platecarpus,personatus
Dorygnathus,kisutch
Girella,buqueti
Nephrops,albomaculata
Andrias,faulkneri
Chromodoris,rufopunctata
Gonocephalus,dugon
Wallabia,orbicularis
Felis,mykiss
Dolabella,novacula
Aplysia,amblyrhynchos
Uca,tabacarius
Lepus,chitala
Macquaria,sagax
Trioceros,magnirostris
Paralichthys,actinostoloides
Grus,blochii
Stangerochampsa,guinazui
Hydromedusa,eximia
Choeronycteris,tenebrosus
Pristidactylus,melatremus
Wukongopterus,sp.
Diplobatis,caryi
Acantholiparis,bowersi
Diogenes,horridus
Botia,rosenfeldi
Caranx,beccarii
Boltenia,modularis
Balistoides,nanus
Sorubim,tenuipinna
Pomacanthus,miurus
Metaxytherium,syringinus
Megalapteryx,occitanus
Menaethius,astreata
Chiton,dux
Osteodiscus,formosum
Sepioteuthis,tredecim
Caracara,cinctimanus
Scombrops,tabacarius
Staurikosaurus,taipingensis
Psephurus,mathaei
Aspidelaps,setiferus
Monodactylus,disjunctivus
Lobophyllia,brevispina
Bison,maculatus
Smilosuchus,clavata
Alosa,sepositus
Serrasalmus,natalis
Lepidurus,rubens
Spondylus,calcarifer
Lampetra,iwamae
Hesperornis,blossevillii
Eumarcia,baileyi
Antennarius,olivaceus
Squilla,borneensis
Lontra,mertensii
Valenciennea,xanthurus
Tumidotheres,zebra
Protoreaster,affinis
Melogale,rhinoceros
Sigmops,hartlaubi
Ambystoma,chloroptera
Zaedyus,polygonius
Oreaster,osborni
Anoplogaster,timorensis
Euastacus,volutator
Hapalochlaena,vinctus
Carnegiella,japonica
Bradypodion,vulsa
Istiodactylus,retifer
Heteractis,scolopaceus
Jassa,metae
Acanthocybium,say
Lithobates,atrox
Pachygrapsus,vestitus
Trapezia,roncador
Monotaxis,magellanicus
Sagra,atrata
Patiria,assasi
Bidyanus,spinosus
Caracanthus,jii
Distichodus,dougallii
Lophoceros,paludosus
Centropyge,vogli
Nephrops,niloticus
Hauxiapterus,griseum
Trygonorrhina,fungites
Sinopterus,texanus
Sepioteuthis,barbifer
Lophognathus,hildebrandi
Lysmata,borneensis
Synalpheus,amabilis
Actitis,vinacea
Rhinochimaera,rubens
Stygobromus,sagittatus
Xyrauchen,punctatus
Bradypodion,depilans
Enoplosus,otaitensis
Eubalichthys,freycineti
Bothriechis,fusca
Choeronycteris,unicolor
Norops,triqueter
Moreiradromia,atra
Diadema,celebensis
Rhomaleosaurus,multicornis
Arapaima,subulatus
Stereolepis,pilosus
Sirembo,depressus
Natator,samarensis
Slosarczykovia,reticulatus
Zapteryx,gallus
Haemulon,canadensis
Fromia,elucens
Architeuthis,katoptron
Fringilla,tschudii
Colobocentrotus,squinado
Heteractis,mento
Euphausia,occidentale
Lepidochitona,didinus
Plecotus,penicilligerus
Rhinoplax,glaucum
Sinopterus,biocellatus
Goniastrea,sp.
Parhippolyte,pealeii
Rhodichthys,sepioidea
Mirapecten,palmatum
Clarias,latovittatus
Mycteroperca,hyperborea
Bovichtus,vacca
Parapenaeus,palau
Aiptasia,canis
Vampyroteuthis,superbus
Tyrannosaurus,acus
Brachaelurus,gyrinus
Cephea,squinado
Siniperca,dimidiatus
Chaetodermis,torquatus
Stockoceros,motoro
Heloecius,proriger
Cyclichthys,chrysolepis
Anolis,diegensis
Cancer,marmorata
Callopistes,bulocki
Alpheus,senegalus
Fossorcastor,monoceros
Asaphus,nicthemerus
Pandea,penicilligerus
Vampyroteuthis,murinus
Rhynchopsitta,pini
Exocoetus,elegans
Rhyticeros,namaquensis
Paracentropogon,prionurus
Anoplopoma,scaphiops
Huso,armatulus
Mespilia,haliaetus
Campylomormyrus,andersonii
Chimaera,scyllarus
Neolithodes,pichiy
Tachycineta,cyanoleuca
Alcedo,chrysoptera
Dendrocygna,melanostigma
Trapezia,americana
Chlamys,paumotensis
Vanellus,oxyrinchus
Carcinus,sculptus
Labroides,jardinii
Abalistes,polyphekadion
Meganyctiphanes,capensis
Ambloplites,planissimum
Boltenia,esmarkii
Kryptopterus,evelynae
Beipiaopterus,nuttallii
Macroramphosus,chrysurus
Carcinus,rhinobatos
Atypichthys,strigatus
Caretta,sufflamen
Pavona,depressus
Anguipecten,santanae
Dascyllus,melanoleucos
Totoaba,gaterinus
Sturnus,floridanum
Spondylus,didinus
Liolaemus,cinereum
Vinciguerria,elginensis
Mugil,corax
Dysmorodrepanis,sanctijosephi
Euapta,lepturus
Hypostomus,limax
Ptychochromis,cuiae
Muriceopsis,dorsalis
Cataleptodius,guildingii
Amazona,dutoiti
Hemigrapsus,cheriway
Aplysina,teres
Manupecten,atramentatus
Neohela,fosteri
Sus,pichiy
Tonicella,mamillatus
Wukongopterus,boa
Hoplostethus,caica
Palaemon,scapularis
Selene,pichiy
Anodonta,dactylomela
Boulengerella,rubicunda
Muriceopsis,falcatus
Hesperornis,storri
Aythya,leptura
Amphiura,peruana
Brachyistius,pesfelis
Sepioteuthis,coecutiens
Eupleres,ornatissimus
Syngnathoides,yuwonoi
Pseudopleuronectes,corollatus
Eumops,kempii
Medialuna,oxyrhyncha
Alcedo,reinhardtii
Meganeuropsis,mildredae
Maja,tuberculatus
Aplysina,otaitensis
Dianema,regina
Buteo,ampullatus
Somateria,affinis
Heterodontus,schoenleinii
Macropodia,lappa
Teleoceras,speciosus
Pholis,rhynchophorus
Labroides,mesenterina
Esacus,pristis
Scylla,armatus
Chaetodipterus,vannamei
Himantopus,erebi
Globicephala,panicea
Calappa,tigerinum
Metacarcinus,pytyopsittacus
Diorocetus,mexicana
Sufflamen,idahoensis
Allosaurus,americanum
Phimochirus,poecilochrous
Gonostoma,fasciatus
Ancylopsetta,nubiae
Amphiura,labordi
Xanthias,bugtiense
Ramphastos,riukiuensis
Camptosaurus,torosus
Ochotona,trocheliophorum
Arapaima,tenuispinus
Eretmochelys,nigrescens
Arothron,chenianus
Anabas,gregarius
Achelous,cassini
Magicicada,sloani
Anableps,saxatilis
Favites,ursinus
Ariosoma,minimus
Nevadia,melleri
Haemulon,mathaei
Pleurobranchus,spinus
Oneirophanta,agassizi
Meganyctiphanes,fuscicollis
Hauxiapterus,derasa
Diatryma,medius
Ommastrephes,decussata
Nephrops,tutus
Mithraculus,floresi
Eoazhdarcho,chrysonota
Pardachirus,nichofii
Bathypterois,cristatus
Thalassocnus,bugtiense
Swiftia,princeps
Diogenes,montanus
Nurhachius,liza
Calyptogena,cyanopterus
Paraluteres,tuckeri
Hexapanopeus,euryzona
Alicella,carponotatus
Neoceratodus,damicornis
Cathartes,lima
Sardinella,tuberculatus
Cetorhinus,edwardsi
Bothriechis,gaterinus
Eudimorphodon,bucculentus
Taractichthys,colias
Grus,kasmira
Stenorhynchus,communis
Saniwa,palpebratum
Sicyonia,gutturale
Eumarcia,derasa
Coelorinchus,leonhardii
Armases,ophidianus
Diorocetus,superba
Huaxiapterus,galeus
Amaurornis,ciliaris
Umbrina,scutellatus
Taaningichthys,jacksonianus
Alcedo,thalassina
Basilosaurus,bifasciatum
Plecotus,multiocellatus
Hemigymnus,tri
Ptilinopus,angulifer
Meganyctiphanes,vicinus
Siren,entomelas
Eurypanopeus,lusosso
Caesio,exasperata
Alloteuthis,zoster
Nardoa,laurillardi
Epicrates,euryzona
Melichthys,nummifer
Pseudolagosuchus,mamillatus
Buthus,cactus
Baryancistrus,sparsa
Egretta,alleni
Iodotropheus,akajei
Chaetodipterus,rubicunda
Anoxycalyx,mokarran
Carinaria,monstrosa
Anoplocapros,multifidus
Pristis,latens
Xiphonectes,boa
Perca,depurator
Nipponia,sextuberculata
Brachyplatystoma,jactator
Rhynchopsitta,maculatofasciatus
Acanthopagrus,pugilator
Canthidermis,scutellatus
Ronquilus,carolinus
Bathyraja,brevirostris
Pipistrellus,diomedeae
Batrochoglanis,ellisianus
Diademichthys,forbesi
Crotalus,setosum
Dermatolepis,maximiliani
Astyanax,stigmosus
Alcedo,cassivellaunos
Conocoryphe,trispeculare
Sinopa,crocro
Euscorpius,rathbunae
Canadia,lachneri
Cobitis,tenebrosus
Thunnus,zonura
Litopenaeus,orbicularis
Diplectrum,schlegeli
Cyclanorbis,rudis
Enchelynassa,rhamphistinus
Acanthonus,medirostris
Siganus,borneensis
Trapezia,serracanthus
Lasionycteris,katoptron
Pomacanthus,copei
Thalassoma,commersonii
Glaucostegus,globulus
Stereolepis,seticornis
Rhizoprionodon,spinosus
Moropus,vinacea
Phyllidia,chuss
Euastacus,lutea
Parahippus,roncador
Sphoeroides,triqueter
Sordes,modularis
Dacelo,insignis
Aluterus,montani
Chilomycterus,davidianus
Ptilocaulis,copei
Ocypode,tyleri
Ammodytes,leucomelas
Cheilotrema,fulvus
Scylla,indica
Thrinaxodon,vannamei
Ablabys,falcatus
Periclimenes,leucoryphus
Hydrolycus,nigriventris
Rhynchopsitta,eperlanus
Pinna,morio
Lybius,cassini
Pelecanus,rubescens
Noturus,janthinoptera
Inimicus,ellioti
Goniopora,latens
Anoxypristis,cinerea
Ophichthus,lepturus
Briareum,falkneri
Anampses,granti
Cyprichromis,coecutiens
Trilophosaurus,kerathurus
Polypterus,mento
Dicentrarchus,caeruleolineatus
Amphiura,longispinis
Notharctus,rufolavatus
Anolis,jeffersoni
Eusphyra,cuiae
Hadurus,motoro
Coelopleurus,thieli
Perca,novaecaledoniae
Clibanarius,lochi
Spondylus,exilis
Peltodoris,altavela
Caracanthus,cookei
Atypichthys,personatus
Petrogale,chitala
Heteroconger,blochii
Letepsammia,fimbria
Gasteropelecus,trocheliophorum
Centropyge,rubicunda
Parasalenia,ignobilis
Gorgasia,spengleri
Eubalaena,euryzona
Trygonorrhina,favagineus
Penelopides,pumilus
Ophichthus,rufolavatus
Pseudodax,coeruleopunctatus
Ablabys,tribulus
Bathyraja,dermatolepis
Ovibos,formosum
Aristostomias,schlegeli
Sordes,bowersi
Panulirus,multiflora
Trygonorrhina,dimidiatus
Muraena,infelix
Actitis,annulatus
Hyporthodus,lunulatus
Palinurellus,poehlii
Botia,hitchcocki
Catalaphyllia,macrocephalus
Lutjanus,greeleyi
Synodontis,snyderi
Stauroteuthis,frenchii
Rhipidura,marinus
Glossodoris,superciliaris
Diploprion,flavater
Morone,viridis
Pardachirus,falkneri
Hypostomus,olivaceus
Rhinopias,microlepis
Pteroplatytrygon,castelnaui
Diplodocus,vison
Maja,pulchellus
Huso,agassizi
Distichodus,corax
Hadurus,clippertonensis
Rhincodon,erythropterus
Enchelycore,probatocephalus
Seriola,serenei
Dysmorodrepanis,collaris
Naja,pastinaca
Odobenocetops,chanos
Maccullochella,parelii
Coris,taylori
Pteranodon,laterispinis
Pinnotheres,globifer
Neopetrolisthes,lugubris
Halichondria,javanicus
Chlorurus,esmarkii
Rhizoprionodon,casuarius
Solaster,katoptron
Hesperornis,nattereri
Ixobrychus,depurator
Ophiarachna,pesfelis
Caulolatilus,cinereum
Edaphosaurus,azurea
Pseudanthias,nigromaculatus
Ctenotus,xanthellus
Diogenes,goudotii
Megacerops,mccordi
Ptilinopus,copei
Cobitis,cuning
Pagurus,tschudii
Lytechinus,ventalina
Penelope,peruviana
Stegostoma,pelagicus
Lepus,albocristatus
Rhodactis,akajei
Bycanistes,pricei
Dermochelys,apama
Notharctus,lutea
Macrobrachium,hasseltii
Leucoraja,urophasianus
Pteroglossus,fabricii
Dicotylichthys,wieneckii
Setonix,sculptus
Charadrius,viduata
Hydrolycus,transversus
Horizocerus,ocellatus
Rhinecanthus,ommata
Paramylodon,taenianotus
Riftia,thamnobates
Chromis,cazaui
Halichoeres,costatus
Lybia,sparsa
Trachycorystes,notopterus
Pomacanthus,inuus
Tetrapturus,mccabei
Microcarbo,pallidirostris
Asaphus,fuscicollis
Astichopus,milii
Parachela,palau
Aplodinotus,vulpes
Bagre,scabriculus
Hyperprosopon,pyrsonotus
Alepocephalus,permiana
Pavona,nasus
Rhinobatos,chrysonota
Dicotylichthys,chrysops
Cebidichthys,borneensis
Ostracion,maculosa
Callopistes,psychedelica
Kiwa,celebesensis
Palliolum,punctata
Pagurus,leoniceps
Danio,spilopleura
Oreaster,moreletii
Cetorhinus,permiana
Cirrhitus,canicula
Nemichthys,pallida
Enoploteuthis,wardii
Macolor,cavifrons
Myoxocephalus,glutinosa
Symphurus,tavetanum
Stichodactyla,sufflamen
Dionaea,conandoylei
Epicrates,mahogoni
Parhippolyte,arabicum
Linckia,stelleri
Carcinus,maydeni
Anguipecten,pyrsonotus
Urasterias,capensis
Taxidea,albomaculata
Taenianotus,newberryi
Eretmochelys,corax
Chiton,noctivagans
Pontaster,elegans
Atherinops,socialis
Danio,mollissima
Riftia,interrupta
Eptesicus,platynemum
Dicotylichthys,decagrammus
Chaetophractus,sanctijosephi
Wiwaxia,tudes
Tonicella,squirella
Tumidotheres,marthae
Abronia,alcicornis
Dendrolagus,christofferseni
Favites,malu
Lepidochelys,quadricornis
Lepisosteus,jardinii
Macrognathus,ferruginea
Dardanus,remiger
Heterostichus,goniurus
Camarasaurus,marsupialis
Buteo,atromaculata
Xenodermichthys,aspricaudus
Stangerochampsa,hoazin
Tolypeutes,leptosoma
Hermodice,calmoni
Sirembo,santanae
Amphioctopus,aurita
Meganyctiphanes,analis
Steneosaurus,assasi
Sinobatis,valenciennesi
Liponema,subducens
Munidopsis,nasicornis
Stockoceros,leucospilota
Branchiostoma,gladius
Hexapanopeus,lichen
Ophionereis,leucomelas
Takifugu,davidsonii
Axinella,quinquestriatus
Alepocephalus,kienerii
Haemulon,canina
Lymnocryptes,zijsron
Macrobrachium,vinctus
Plerogyra,montium
Gomphosus,goniurus
Seriola,pellucidus
Vombatus,fluviorum
Nautilus,cunea
Muraena,corymbosa
Taeniura,affinis
Aplodinotus,chilensis
Atelerix,pollachius
Syngnathus,tschudii
Stokesosaurus,retusa
Semicossyphus,antirrhopus
Chromis,phocoena
Polymetme,ferreirai
Corystes,idahoensis
Dendronephthya,tabacarius
Sunagocia,rivulatus
Hapalocarcinus,rubripinnis
Pinnotheres,brummeri
Ronquilus,peltata
Symphorichthys,buettneri
Engraulis,bairdi
Poroderma,leptosoma
Pinnotheres,atratus
Parhippolyte,brachiusculus
Caprella,compressa
Genyonemus,irroratus
Hapalochlaena,transmontanus
Sepia,hyacinthus
Oneirophanta,filiformis
Polyglyphanodon,triqueter
Ochotona,macularius
Hexabranchus,canicula
Buthus,brevicaudata
Mycteroperca,griseum
Phalacrocorax,pseudospinosus
Alligator,aporos
Cleidopus,medirostris
Amphiprion,longicollis
Naso,kisutch
Centropyge,janthinoptera
Paruroctonus,mappa
Triakis,latus
Iconaster,tenebrosus
Poroderma,megalopterus
Wallabia,maxima
Bothus,pullus
Bahaba,canadensis
Pseudanthias,furiosus
Myotis,neopogon
Shenzhoupterus,macrosoma
Anabas,cuiae
Hypertragulus,mexicanum
Amphiprion,hardwickii
Petrochirus,grangeri
Placenticeras,placidus
Letepsammia,horridus
Vanellus,lichen
Psammechinus,nicthemerus
Bathophilus,mutica
Hexapanopeus,bulocki
Halcyon,nocturnus
Sterna,binoculata
Pygoscelis,clavata
Fowlerichthys,henricii
Helaletes,sanguinea
Lamprometra,edulis
Centrocercus,willani
Sirembo,bernhardus
Cyclura,melinus
Arothron,asper
Nestor,berryi
Calumma,cinereum
Cyclichthys,castelnaui
Panopeus,rubra
Basilosaurus,nigrescens
Placopecten,milii
Parapercis,rufomarginata
Glyptonotus,corrugata
Lithobates,cantonensis
Rhinopias,eleutherus
Sardinops,pacifica
Cyclura,violacea
Chaceon,niloticus
Asaphus,filamentosus
Cheilinus,exesa
Rafetus,couesii
Ariosoma,fimbria
Centruroides,cychlura
Hexapanopeus,grabhami
Coelorinchus,lucerna
Naja,margaritata
Caranx,grandoculis
Ophiura,punctatissima
Zoanthus,weeksi
Iconaster,labordi
Jassa,strigatus
Rhyticeros,pullus
Stereolepis,sivickisi
Rhodichthys,carinipes
Mithrax,albomaculata
Sunagocia,macrosoma
Amblyraja,unicolor
Apalone,montium
Monocirrhus,antillensis
Brookesia,vaillanti
Oncorhynchus,moilensis
Solenostomus,phocoena
Podocnemis,serracanthus
Brookesia,pastinaca
Penelopides,sagittatus
Sus,saurus
Bahaba,louti
Amaurornis,iwamae
Bahaba,teres
Stolephorus,janssi
Equus,strigatus
Lasiorhinus,jacksonianus
Crotalus,elongata
Dardanus,fultoni
Macroramphosus,aquila
Coris,lunulatus
